name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description
"Brightline, Inc.",CA,Business Associate,7411,4/7/2023,Hacking/IT Incident,Network Server,Yes,
"Brightline, Inc.",CA,Business Associate,31440,4/7/2023,Hacking/IT Incident,Network Server,Yes,
"Brightline, Inc.",CA,Business Associate,4044,4/7/2023,Hacking/IT Incident,Network Server,Yes,
"Brightline, Inc.",CA,Business Associate,462241,4/7/2023,Hacking/IT Incident,Network Server,Yes,
"Brightline, Inc.",CA,Business Associate,7672,4/7/2023,Hacking/IT Incident,Network Server,Yes,
"St. Luke's Health System, Ltd. ",ID,Healthcare Provider,15246,4/6/2023,Unauthorized Access/Disclosure,Paper/Films,No,
California Physicians’ Services dba Blue Shield of California,CA,Health Plan,1553,4/5/2023,Hacking/IT Incident,Network Server,Yes,
NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM,PA,Health Plan,13240,4/5/2023,Hacking/IT Incident,Email,No,
California Physicians' Services d/b/a Blue Shield of California,CA,Business Associate,61790,4/4/2023,Hacking/IT Incident,Network Server,Yes,
banis plastci surgery,KY,Healthcare Provider,4498,4/4/2023,Unauthorized Access/Disclosure,Email,No,
Chippewa County,WI,Healthcare Provider,842,4/4/2023,Hacking/IT Incident,Network Server,No,
"Integrative Health of Utah, PLLC",UT,Healthcare Provider,600,4/3/2023,Theft,"Electronic Medical Record, Paper/Films",No,
Southwest Healthcare Services,ND,Healthcare Provider,15996,4/1/2023,Hacking/IT Incident,Network Server,No,
"Tallahassee Memorial Healthcare, Inc.",FL,Healthcare Provider,20376,3/31/2023,Hacking/IT Incident,Network Server,No,
"Monument, Inc.",NY,Business Associate,108584,3/31/2023,Unauthorized Access/Disclosure,Network Server,Yes,
"WellBe Senior Medical, LLC",IL,Healthcare Provider,3142,3/30/2023,Hacking/IT Incident,Network Server,No,
Santa Clara Family Health Plan,CA,Health Plan,276993,3/30/2023,Hacking/IT Incident,Network Server,Yes,
Aspire Health Partners ,FL,Healthcare Provider,999,3/29/2023,Improper Disposal,Paper/Films,No,
"UHS of Delaware, Inc. ",PA,Business Associate,40290,3/29/2023,Hacking/IT Incident,Email,Yes,
"Nonstop Administration and Insurance Services, Inc.",PA,Business Associate,8571,3/27/2023,Hacking/IT Incident,Network Server,Yes,
"American Pain and Wellness, PLLC",TX,Healthcare Provider,7457,3/24/2023,Hacking/IT Incident,Network Server,No,
NewBridge Services,NJ,Healthcare Provider,1457,3/24/2023,Hacking/IT Incident,Network Server,No,
Adams County Children and Youth Services,PA,Healthcare Provider,722,3/24/2023,Hacking/IT Incident,Email,No,
Atlantic General Hospital,MD,Healthcare Provider,26591,3/24/2023,Hacking/IT Incident,Network Server,No,
Frideres Dental LLC,OR,Healthcare Provider,1596,3/24/2023,Hacking/IT Incident,Email,No,
New Medical Healthcare,KS,Healthcare Provider,1557,3/22/2023,Unauthorized Access/Disclosure,Email,No,
US Wellness Inc.,MD,Business Associate,15818,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - Mattoo and Bhat Medical Associates ,NY,Business Associate,3851,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - West Nassau Dialysis Center Inc. ,NY,Business Associate,795,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - Springfield Dialysis Center ,NY,Business Associate,922,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - Ridgewood Dialysis Center Inc.,NY,Business Associate,2204,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - 522012,NY,Business Associate,563,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - Newtown Dialysis Center Inc.  ,NY,Business Associate,970,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - New York Renal Associates ,NY,Business Associate,1126,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - New Hyde Park Dialysis Center LLC ,NY,Business Associate,1119,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - Morrisania Dialysis Center  ,NY,Business Associate,653,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - East End Dialysis Center LLC ,NY,Business Associate,745,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - Central Park Dialysis Center  ,NY,Business Associate,1345,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - Central Brooklyn Dialysis Center LLC ,NY,Business Associate,1052,3/22/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - Broadway Dialysis Center  ,NY,Business Associate,776,3/21/2023,Hacking/IT Incident,Network Server,Yes,
Atlantic Dialysis Management Services - Astoria Dialysis Center  ,NY,Business Associate,3851,3/21/2023,Hacking/IT Incident,Network Server,Yes,
"McAllen Hospitals, LP d/b/a South Texas Health System",TX,Healthcare Provider,500,3/20/2023,Hacking/IT Incident,Email,No,
NewYork-Presbyterian Hospital,NY,Healthcare Provider,54396,3/20/2023,Unauthorized Access/Disclosure,Network Server,No,
"Integrated Supports for Living, Inc.",OR,Healthcare Provider,1161,3/20/2023,Hacking/IT Incident,Network Server,No,
Majestic Care Middletown Assisted Living LLC,IN,Healthcare Provider,2636,3/17/2023,Hacking/IT Incident,Network Server,No,
"OU Medicine, Inc. d/b/a OU Health",OK,Healthcare Provider,3013,3/17/2023,Theft,Laptop,No,
Health Plan of San Mateo,CA,Health Plan,11894,3/17/2023,Hacking/IT Incident,Email,No,
Associates in Dermatology,KY,Healthcare Provider,8517,3/17/2023,Hacking/IT Incident,Network Server,Yes,
"Community Health Systems Professional Services Corporations (CHSPSC), LLC",TN,Business Associate,962884,3/16/2023,Hacking/IT Incident,Network Server,Yes,
UC San Diego Health ,CA,Healthcare Provider,23000,3/16/2023,Unauthorized Access/Disclosure,"Network Server, Other",Yes,
"AllCare Plus Pharmacy, Inc.",MA,Healthcare Provider,757,3/15/2023,Hacking/IT Incident,Email,No,
Healthy Options dba Postal Prescription Services – Kroger ,OH,Healthcare Provider,82466,3/15/2023,Unauthorized Access/Disclosure,Network Server,No,
Merritt Healthcare Advisors,CT,Business Associate,77258,3/15/2023,Hacking/IT Incident,Email,Yes,
California Department of Health Care Services,CA,Health Plan,6460,3/14/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,
Top of the World Ranch Treatment Center,IL,Healthcare Provider,1980,3/14/2023,Hacking/IT Incident,Email,No,
NorthStar Emergency Medical Services,AL,Healthcare Provider,82450,3/14/2023,Hacking/IT Incident,Network Server,No,
Beach District Surgery Center,CA,Healthcare Provider,3560,3/13/2023,Hacking/IT Incident,Email,Yes,
"Bone & Joint Clinic, S.C.",WI,Healthcare Provider,105094,3/13/2023,Hacking/IT Incident,Network Server,No,
"Ryu Physical Therapy, P.C.",CA,Healthcare Provider,500,3/11/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
ZOLL Services LLC ,MA,Healthcare Provider,997097,3/10/2023,Hacking/IT Incident,Network Server,No,
"Florida Medical Clinic, LLC",FL,Healthcare Provider,94132,3/10/2023,Hacking/IT Incident,Network Server,No,
"Colquitt Complete Care, LLC",GA,Healthcare Provider,1282,3/10/2023,Hacking/IT Incident,Network Server,Yes,
"Department of Economic Security, Division of Developmental Disabilities",AZ,Healthcare Provider,857,3/10/2023,Unauthorized Access/Disclosure,Paper/Films,No,
Beacon Health System,IN,Healthcare Provider,3117,3/10/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Wichita Urology Group, PA (“WUG”) ",KS,Healthcare Provider,1493,3/8/2023,Hacking/IT Incident,Network Server,No,
"EPIC Management, LLC",CA,Health Plan,1190,3/8/2023,Hacking/IT Incident,Email,No,
Community Health Centers of Greater Dayton,OH,Healthcare Provider,516,3/8/2023,Unauthorized Access/Disclosure,Email,No,
The M K Morse Company's Health Plan,OH,Health Plan,1378,3/8/2023,Hacking/IT Incident,Network Server,No,
"SundaySky, Inc.",NY,Business Associate,37095,3/7/2023,Hacking/IT Incident,Network Server,Yes,
Trinity Health,MI,Business Associate,45350,3/6/2023,Hacking/IT Incident,Email,Yes,
The Chautauqua Center Inc.,NY,Healthcare Provider,745,3/6/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
"Northeast Surgical Group, PC",MI,Healthcare Provider,15298,3/6/2023,Hacking/IT Incident,Network Server,No,
West Virginia University Board of Governors,WV,Healthcare Provider,2453,3/3/2023,Unauthorized Access/Disclosure,Network Server,No,
Denver Public Schools Medical Plans,CO,Health Plan,35068,3/3/2023,Hacking/IT Incident,Network Server,No,
Codman Square Health Center,MA,Healthcare Provider,10161,3/1/2023,Hacking/IT Incident,Network Server,No,
"Cerebral, Inc",DE,Business Associate,3179835,3/1/2023,Unauthorized Access/Disclosure,Network Server,Yes,
Texas Medical Liability Trust and its affiliates,TX,Business Associate,600,3/1/2023,Hacking/IT Incident,Network Server,Yes,
MHMR Authority of Brazos Valley ,TX,Healthcare Provider,78984,2/28/2023,Hacking/IT Incident,Network Server,No,
Community Health Group ,CA,Health Plan,824,2/28/2023,Hacking/IT Incident,Network Server,Yes,
Valera Health,NY,Healthcare Provider,2317,2/28/2023,Unauthorized Access/Disclosure,Email,No,
Clarity Child Guidance Center,TX,Health Plan,531,2/28/2023,Unauthorized Access/Disclosure,Email,No,
Asante,OR,Healthcare Provider,8834,2/24/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Aloha Nursing Rehab Centre,HI,Healthcare Provider,20216,2/24/2023,Hacking/IT Incident,Network Server,No,
"eMDs, Inc.",TX,Business Associate,625,2/24/2023,Hacking/IT Incident,Network Server,Yes,
White Bird Clinic,OR,Healthcare Provider,584,2/23/2023,Unauthorized Access/Disclosure,Email,No,
Sharp Healthcare,CA,Healthcare Provider,62777,2/17/2023,Hacking/IT Incident,Network Server,No,
"Hutchinson Clinic, P.A. ",KS,Healthcare Provider,100000,2/17/2023,Hacking/IT Incident,Network Server,No,
Jackson Lewis P.C. ,CA,Business Associate,986,2/17/2023,Theft,Other Portable Electronic Device,Yes,
San Juan Regional Medical Center,NM,Healthcare Provider,8500,2/15/2023,Hacking/IT Incident,Network Server,Yes,
Integrative Dentistry,WA,Healthcare Provider,2281,2/14/2023,Hacking/IT Incident,Network Server,No,
"Reventics, LLC",FL,Business Associate,250918,2/10/2023,Hacking/IT Incident,Network Server,Yes,
"CentraState Healthcare System, Inc.",NJ,Healthcare Provider,617901,2/10/2023,Hacking/IT Incident,Network Server,No,
Intelligent Business Solutions ,NC,Business Associate,11595,2/10/2023,Hacking/IT Incident,Network Server,Yes,
Compass Behavioral Health,KS,Healthcare Provider,537,2/10/2023,Hacking/IT Incident,Email,No,
Highmark Inc,PA,Business Associate,36600,2/10/2023,Hacking/IT Incident,Email,Yes,
Evergreen Treatment Services,WA,Healthcare Provider,21325,2/10/2023,Hacking/IT Incident,Network Server,No,
Highmark Inc,PA,Health Plan,239039,2/10/2023,Hacking/IT Incident,Email,No,
Wentworth Health Partners Garrison Women's Health,NH,Healthcare Provider,4158,2/10/2023,Hacking/IT Incident,Electronic Medical Record,Yes,
CVS Specialty,RI,Healthcare Provider,740,2/10/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Nelson Pharmacy Consulting Services PLC,IA,Healthcare Provider,500,2/10/2023,Hacking/IT Incident,"Desktop Computer, Network Server",No,
"Cheyenne Radiology Group & MRI, P.C.",WY,Healthcare Provider,500,2/9/2023,Hacking/IT Incident,Network Server,No,
"Tattnall County, Georgia",GA,Healthcare Provider,1337,2/9/2023,Hacking/IT Incident,Network Server,No,
Health Benefit Plan of Bridgewater-Raritan Regional School District,NJ,Health Plan,3909,2/9/2023,Hacking/IT Incident,Network Server,No,
"90 Degree Benefits, Inc.",WI,Business Associate,175000,2/8/2023,Hacking/IT Incident,Network Server,Yes,
"NR Pennsylvania Associates, LLC",PA,Healthcare Provider,14335,2/7/2023,Hacking/IT Incident,Network Server,No,
"NR Connecticut, LLC",CT,Healthcare Provider,2160,2/7/2023,Hacking/IT Incident,Network Server,No,
"Frank R. Laurri, M.D. and Associates, P.C.",NY,Healthcare Provider,2673,2/7/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Teijin Automotive Technologies Welfare Plan,MI,Health Plan,25464,2/6/2023,Hacking/IT Incident,Network Server,No,
"Vitra Health, Inc.",MA,Healthcare Provider,1618,2/6/2023,Hacking/IT Incident,Email,No,
"Center for Autism and Related Disorders, LLC",TX,Healthcare Provider,634,2/4/2023,Unauthorized Access/Disclosure,Paper/Films,No,
"Rise Interactive Media & Analytics, LLC",IL,Business Associate,54509,2/3/2023,Hacking/IT Incident,Network Server,Yes,
Cardiovascular Associates,AL,Healthcare Provider,441640,2/3/2023,Hacking/IT Incident,Network Server,No,
Southeast Colorado Hospital District,CO,Healthcare Provider,1435,2/3/2023,Hacking/IT Incident,Email,No,
Hospice of the Valley,AZ,Healthcare Provider,3840,2/3/2023,Hacking/IT Incident,Email,No,
"UT Specialty Dental Services, PLLC d/b/a Aspire Surgical",UT,Healthcare Provider,5327,2/2/2023,Hacking/IT Incident,Network Server,No,
The Institute for Liver Health dba Arizona Liver Health-Arizona Clinical Trials,AZ,Healthcare Provider,1277,2/1/2023,Hacking/IT Incident,Network Server,No,
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below",AZ,Healthcare Provider,10978,2/1/2023,Hacking/IT Incident,Network Server,No,
"Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group",CA,Healthcare Provider,3388856,2/1/2023,Hacking/IT Incident,Network Server,No,
Institute for Hormonal Balance,TX,Healthcare Provider,597,1/31/2023,Theft,Paper/Films,No,
Brooks Rehabilitation,FL,Healthcare Provider,1554,1/31/2023,Unauthorized Access/Disclosure,Network Server,No,
DotHouse Health Incorporated,MA,Healthcare Provider,10000,1/27/2023,Hacking/IT Incident,Network Server,No,
"Benefit Administrative Systems, LLC (BAS)",IL,Business Associate,6465,1/27/2023,Hacking/IT Incident,Network Server,Yes,
Cedar Oaks Surgery Center ,MO,Healthcare Provider,794,1/27/2023,Hacking/IT Incident,Email,No,
Stroke Scan Inc,TX,Healthcare Provider,50000,1/27/2023,Hacking/IT Incident,Desktop Computer,No,
Minuteman Senior Services,MA,Healthcare Provider,500,1/27/2023,Hacking/IT Incident,Email,No,
Benefit Management LLC,KS,Business Associate,3356,1/27/2023,Hacking/IT Incident,Email,Yes,
Hayward Sisters Hospital d/b/a St. Rose Hospital ,CA,Healthcare Provider,501,1/27/2023,Hacking/IT Incident,Network Server,No,
Howard Memorial Hospital,AR,Healthcare Provider,53668,1/27/2023,Hacking/IT Incident,Network Server,No,
"Valley Care Home Health Services, Inc.",CA,Healthcare Provider,2674,1/25/2023,Theft,Other Portable Electronic Device,No,
"AppleCare, LLC",GA,Healthcare Provider,512,1/23/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,
"Peachtree Immediate Care FP, LLC",GA,Healthcare Provider,2555,1/23/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,
City of Cleveland Health Plan,OH,Health Plan,15206,1/20/2023,Unauthorized Access/Disclosure,Network Server,No,
DCH Health System,AL,Healthcare Provider,2530,1/20/2023,Unauthorized Access/Disclosure,Desktop Computer,No,
One Brooklyn Health System,NY,Healthcare Provider,500,1/18/2023,Hacking/IT Incident,Network Server,No,
Health Plan of San Mateo,CA,Health Plan,4032,1/18/2023,Hacking/IT Incident,Network Server,Yes,
"mscripts®, LLC ",CA,Business Associate,66372,1/17/2023,Unauthorized Access/Disclosure,Network Server,Yes,
University of Colorado Hospital Authority,CO,Healthcare Provider,48879,1/17/2023,Hacking/IT Incident,Network Server,Yes,
"Community Health Network, Inc.",IN,Business Associate,1237,1/13/2023,Unauthorized Access/Disclosure,Network Server,Yes,
1st Franklin Financial Corporation Master Welfare Benefit Plan,GA,Health Plan,3039,1/13/2023,Hacking/IT Incident,Email,No,
Intelligent Business Solutions ,NC,Business Associate,500,1/13/2023,Hacking/IT Incident,Network Server,Yes,
Jefferson County Health Center d/b/a Jefferson County Health Department,MO,Healthcare Provider,115940,1/13/2023,Hacking/IT Incident,Network Server,No,
"DPP II, LLC",TX,Healthcare Provider,125981,1/12/2023,Hacking/IT Incident,Network Server,No,
Dr. Keith Rundle & Dr. Herman Rundle,CA,Healthcare Provider,7528,1/12/2023,Hacking/IT Incident,Network Server,No,
"Community Psychiatry Management, LLC, dba Mindpath Health",NC,Healthcare Provider,193947,1/10/2023,Hacking/IT Incident,Email,No,
"Vascular Institute of Houston, PLLC",TX,Healthcare Provider,1195,1/5/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
"Vascular Institute of North Texas, PLLC ",TX,Healthcare Provider,5853,1/5/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
Pershing Health System,MO,Healthcare Provider,5368,1/5/2023,Hacking/IT Incident,Email,No,
Insulet Corporation,MA,Healthcare Provider,29000,1/5/2023,Unauthorized Access/Disclosure,Network Server,No,
Texas Orthopaedic & Sports Medicine,TX,Healthcare Provider,1064,1/5/2023,Hacking/IT Incident,"Electronic Medical Record, Laptop",No,
Lantern Hill Retirement Community,NJ,Healthcare Provider,528,1/5/2023,Unauthorized Access/Disclosure,Network Server,No,
Live Oak Surgery Center,TX,Healthcare Provider,5264,1/3/2023,Hacking/IT Incident,Email,No,
Barclay Damon LLP,NY,Business Associate,1039,1/3/2023,Hacking/IT Incident,Email,Yes,
"Circles of Care, Inc. ",FL,Healthcare Provider,61170,1/3/2023,Hacking/IT Incident,Network Server,No,
"Bay Bridge Administrators, LLC",TX,Business Associate,187742,12/30/2022,Hacking/IT Incident,Network Server,Yes,
Fitzgibbon Hospital,MO,Healthcare Provider,112072,12/30/2022,Unauthorized Access/Disclosure,Network Server,No,
NR Florida Associates LLC,FL,Healthcare Provider,6250,12/30/2022,Hacking/IT Incident,Network Server,No,
The Kelberman Center ,NY,Healthcare Provider,3501,12/30/2022,Hacking/IT Incident,Email,No,
"L. Knife & Son, Inc. Employee Benefits Plan",MA,Health Plan,4082,12/30/2022,Hacking/IT Incident,Network Server,No,
MJ Care,WI,Business Associate,1832,12/29/2022,Hacking/IT Incident,Email,Yes,
"Bosselman Energy, Inc. Employee Health Benefits Plan",NE,Health Plan,735,12/29/2022,Hacking/IT Incident,Network Server,No,
CellNetix Pathology & Laboratories,WA,Healthcare Provider,1969,12/28/2022,Hacking/IT Incident,Email,No,
Aetna ACE,CT,Health Plan,4222,12/27/2022,Hacking/IT Incident,Email,No,
Quality Behavioral Health,WA,Healthcare Provider,3498,12/26/2022,Hacking/IT Incident,Network Server,No,
"Cedar Cares, Inc. f/k/a Careportal",NY,Business Associate,1205,12/23/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
"Midwest Orthopaedic Consultants, S.C.",IL,Healthcare Provider,6818,12/22/2022,Hacking/IT Incident,Network Server,No,
Legacy Operating Company d/b/a Legacy Hospice,AL,Healthcare Provider,21202,12/22/2022,Hacking/IT Incident,Email,No,
"Southwest Louisiana Health Care System, Inc. d/b/a Lake Charles Memorial Health System",LA,Healthcare Provider,269752,12/22/2022,Hacking/IT Incident,Network Server,No,
University of Miami ,FL,Healthcare Provider,973,12/22/2022,Unauthorized Access/Disclosure,Email,No,
"Sequoia Benefits and Insurance Services, LLC, d/b/a Sequoia Consulting Group",CA,Business Associate,4265,12/20/2022,Hacking/IT Incident,Other,Yes,
Bay City Health & Rehabilitation Center ,TX,Healthcare Provider,2000,12/20/2022,Hacking/IT Incident,Network Server,No,
Louis A. Johnson Veterans' Administration Medical Center,WV,Healthcare Provider,736,12/20/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Prairie Lakes Healthcare System,SD,Healthcare Provider,1060,12/20/2022,Hacking/IT Incident,Network Server,Yes,
Three Rivers Provider Network,CA,Business Associate,4596,12/19/2022,Unauthorized Access/Disclosure,Email,Yes,
MITCON,MI,Business Associate,1131,12/19/2022,Hacking/IT Incident,Network Server,Yes,
Metropolitan Area EMS Authority dba MedStar Mobile Healthcare,TX,Healthcare Provider,612000,12/19/2022,Hacking/IT Incident,Network Server,No,
Hawaiian Eye Center,HI,Healthcare Provider,14524,12/19/2022,Hacking/IT Incident,Network Server,No,
Monarch,NC,Healthcare Provider,56155,12/16/2022,Hacking/IT Incident,Network Server,No,
"Foundcare, Inc.",FL,Healthcare Provider,14194,12/16/2022,Hacking/IT Incident,Email,No,
"AAA Collections, Inc.",SD,Business Associate,4635,12/15/2022,Hacking/IT Incident,Network Server,Yes,
The Elizabeth Hospice ,CA,Healthcare Provider,35496,12/14/2022,Unauthorized Access/Disclosure,Email,No,
Avem Health Partners,OK,Business Associate,271303,12/13/2022,Hacking/IT Incident,Network Server,Yes,
"Robert S Miller, LICSW, ACSW, PLLC",WA,Healthcare Provider,902,12/13/2022,Hacking/IT Incident,Laptop,No,
Sleep Center Hawaii,HI,Healthcare Provider,5396,12/12/2022,Hacking/IT Incident,Email,No,
KEMET Electronics Medical/Dental/EAP,FL,Health Plan,2927,12/9/2022,Hacking/IT Incident,Network Server,No,
Hanger Prosthetics and Orthotics,TX,Healthcare Provider,1354,12/9/2022,Hacking/IT Incident,Email,No,
"Pediatrics West, P.C.",MA,Healthcare Provider,1364,12/9/2022,Hacking/IT Incident,Network Server,No,
Rhode Island Department of Health,RI,Healthcare Provider,8800,12/7/2022,Unauthorized Access/Disclosure,Email,Yes,
Blakehurst,MD,Healthcare Provider,1047,12/6/2022,Hacking/IT Incident,Email,No,
Emory Healthcare,GA,Healthcare Provider,1891,12/6/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Employee Group Insurance Benefits Plan of Acuity Brands, Inc.",GA,Health Plan,20849,12/6/2022,Hacking/IT Incident,Network Server,No,
Polsinelli PC,MO,Business Associate,1220,12/2/2022,Hacking/IT Incident,Network Server,Yes,
NYC Health + Hospitals,NY,Healthcare Provider,2174,12/2/2022,Loss,Other Portable Electronic Device,No,
CommonSpirit Health,IL,Business Associate,623774,12/1/2022,Hacking/IT Incident,Network Server,Yes,
Easton Cardiovascular,PA,Business Associate,883,11/30/2022,Hacking/IT Incident,Network Server,Yes,
"Peter J. Isaac, D.O.",PA,Business Associate,6390,11/30/2022,Hacking/IT Incident,Network Server,Yes,
"Dr. Douglas C. Shoenberger,PC",PA,Business Associate,8179,11/30/2022,Hacking/IT Incident,Network Server,Yes,
"MaryAnne Freeman Brndjar, DO, PC",PA,Business Associate,2491,11/30/2022,Hacking/IT Incident,Network Server,Yes,
"Dermatology & Skin Cancer Ctr, PC",PA,Business Associate,5423,11/30/2022,Hacking/IT Incident,Network Server,Yes,
"Ellen M. Field, M.D.",PA,Business Associate,4438,11/30/2022,Hacking/IT Incident,Network Server,Yes,
Pendurthi Surgical Associates,PA,Business Associate,7925,11/30/2022,Hacking/IT Incident,Network Server,Yes,
"NU House Calls, PC",PA,Business Associate,552,11/30/2022,Hacking/IT Incident,Network Server,Yes,
Lehigh Valley Women's Specialties,PA,Business Associate,4535,11/30/2022,Hacking/IT Incident,Network Server,Yes,
Keck Medicine of USC,CA,Healthcare Provider,2200,11/29/2022,Hacking/IT Incident,Email,No,
Legacy Health,OR,Healthcare Provider,8065,11/23/2022,Theft,Other Portable Electronic Device,No,
Dallam Hartley Counties Hospital District,TX,Healthcare Provider,69835,11/23/2022,Hacking/IT Incident,Network Server,No,
Compton & Broomhead Dental Center,IN,Healthcare Provider,1307,11/23/2022,Hacking/IT Incident,Email,No,
Mena Regional Health System,AR,Healthcare Provider,84814,11/22/2022,Hacking/IT Incident,Network Server,No,
Hope Health Systems Inc.,MD,Healthcare Provider,9972,11/21/2022,Hacking/IT Incident,Electronic Medical Record,No,
Orlando Health,FL,Healthcare Provider,3662,11/18/2022,Hacking/IT Incident,Email,No,
Wright & Filippis LLC,MI,Healthcare Provider,877584,11/18/2022,Hacking/IT Incident,Network Server,No,
"Nuance Communications, Inc.",MA,Business Associate,4830,11/18/2022,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
"Community Health Network, Inc. as an Affiliated Covered Entity",IN,Healthcare Provider,1500000,11/18/2022,Unauthorized Access/Disclosure,Network Server,No,
CareFirst Administrators,MD,Health Plan,14538,11/18/2022,Hacking/IT Incident,Email,Yes,
Gateway Rehabilitation Center,PA,Healthcare Provider,130000,11/18/2022,Hacking/IT Incident,Network Server,No,
University Medical Center of Southern Nevada,NV,Healthcare Provider,1861,11/17/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"CONSUMER DIRECTED SERVICES IN TEXAS, INC.",TX,Healthcare Provider,56728,11/17/2022,Hacking/IT Incident,Network Server,Yes,
"Innovative Service Technology Management Services, Inc. ",GA,Health Plan,2654,11/17/2022,Hacking/IT Incident,Network Server,No,
"Rosenfeld VanWirt, PC",PA,Business Associate,18719,11/16/2022,Hacking/IT Incident,Network Server,Yes,
South Walton Fire District,FL,Healthcare Provider,25331,11/15/2022,Hacking/IT Incident,Network Server,No,
Arkansas Department of Human Services,AR,Health Plan,925,11/15/2022,Unauthorized Access/Disclosure,Email,No,
Docs Medical Inc,CT,Healthcare Provider,3146,11/15/2022,Hacking/IT Incident,Network Server,No,
"CCA Health Plans of California, Inc d/b/a CCA Health CA",CA,Health Plan,14631,11/15/2022,Hacking/IT Incident,Network Server,No,
Epic Management LLC,TN,Healthcare Provider,10862,11/14/2022,Hacking/IT Incident,Email,No,
"Health Care Management Solutions, LLC",WV,Business Associate,500000,11/14/2022,Hacking/IT Incident,Network Server,Yes,
Yale University,CT,Healthcare Provider,9051,11/11/2022,Hacking/IT Incident,Network Server,No,
NewYork-Presbyterian Hospital,NY,Healthcare Provider,12000,11/11/2022,Hacking/IT Incident,Laptop,No,
"Stanley Street Treatment and Resources, Inc. ",MA,Healthcare Provider,45785,11/11/2022,Hacking/IT Incident,Network Server,No,
"Connexin Software, Inc.",PA,Business Associate,2216365,11/11/2022,Hacking/IT Incident,Network Server,Yes,
Manassas Surgery Center Anesthesia Services,NY,Healthcare Provider,726,11/10/2022,Hacking/IT Incident,Network Server,No,
Work Health Solutions,CA,Healthcare Provider,13157,11/9/2022,Hacking/IT Incident,Email,No,
Doctors' Center Hospital,,Healthcare Provider,1195220,11/9/2022,Hacking/IT Incident,Network Server,No,
GATE Petroleum Company Employee Benefits Plan ,FL,Health Plan,4912,11/9/2022,Hacking/IT Incident,Network Server,No,
Heartland Alliance ,IL,Business Associate,46694,11/8/2022,Hacking/IT Incident,Network Server,Yes,
"Eastside Pediatrics, PLLC",NY,Healthcare Provider,1723,11/8/2022,Hacking/IT Incident,Network Server,No,
"The Stern Cardiovascular Foundation, Inc.",TN,Healthcare Provider,501,11/5/2022,Hacking/IT Incident,Network Server,No,
"Titan Health Partners, LLC d/b/a Astera Cancer Care",NJ,Healthcare Provider,3848,11/4/2022,Hacking/IT Incident,Email,No,
OCEANVIEWS OPTICAL INC,FL,Healthcare Provider,2000,11/3/2022,Hacking/IT Incident,Network Server,No,
"Pinnacle Claims Management, Inc.",CA,Business Associate,2048,11/3/2022,Hacking/IT Incident,Network Server,Yes,
TIC International Corporation (“TIC”),IN,Business Associate,1362,11/1/2022,Hacking/IT Incident,Network Server,Yes,
"CorrectCare Integrated Health, Inc.",KY,Business Associate,4380,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"CorrectCare Integrated Health, Inc.",KY,Business Associate,438713,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
